date,equity,capital,unrealized_pnl,open_positions,spot
2023-03-13,124747.79290527348,124747.79290527348,0.0,2,371.52777099609375
2023-03-15,124747.79290527348,124747.79290527348,0.0,2,375.30712890625
2023-03-17,124747.79290527348,124747.79290527348,0.0,2,377.4266052246094
2023-03-20,124747.79290527348,124747.79290527348,0.0,2,381.0557556152344
2023-03-22,124747.79290527348,124747.79290527348,0.0,2,379.4783020019531
2023-03-24,125123.13018310552,125123.13018310552,0.0,1,383.0010070800781
2023-03-27,125498.05143554692,125498.05143554692,0.0,0,383.7171936035156
2023-03-29,125498.05143554692,125498.05143554692,0.0,0,388.420654296875
2023-03-31,125498.05143554692,125498.05143554692,0.0,0,396.2016296386719
2023-04-03,125498.05143554692,125498.05143554692,0.0,0,397.71136474609375
2023-04-05,125498.05143554692,125498.05143554692,0.0,0,394.46929931640625
2023-04-10,125498.05143554692,125498.05143554692,0.0,0,396.41455078125
2023-04-12,125498.05143554692,125498.05143554692,0.0,0,394.90478515625
2023-04-14,125498.05143554692,125498.05143554692,0.0,0,399.1727600097656
2023-04-17,125498.05143554692,125498.05143554692,0.0,0,400.60504150390625
2023-04-19,125498.05143554692,125498.05143554692,0.0,0,400.79864501953125
2023-04-21,125498.05143554692,125498.05143554692,0.0,0,398.921142578125
2023-04-24,125498.05143554692,125498.05143554692,0.0,0,399.3372497558594
2023-04-26,125498.05143554692,125498.05143554692,0.0,0,391.3336486816406
2023-04-28,125498.05143554692,125498.05143554692,0.0,0,402.5309143066406
2023-05-01,125498.05143554692,125498.05143554692,0.0,0,402.1244812011719
2023-05-03,125498.05143554692,125498.05143554692,0.0,0,394.875732421875
2023-05-05,125498.05143554692,125498.05143554692,0.0,0,399.3372497558594
2023-05-08,125498.05143554692,125498.05143554692,0.0,0,399.4437255859375
2023-05-10,125498.05143554692,125498.05143554692,0.0,0,399.5501403808594
2023-05-12,125498.05143554692,125498.05143554692,0.0,0,398.33074951171875
2023-05-15,125498.05143554692,125498.05143554692,0.0,0,399.70501708984375
2023-05-17,125498.05143554692,125498.05143554692,0.0,0,401.853515625
2023-05-19,125498.05143554692,125498.05143554692,0.0,0,405.13427734375
2023-05-22,125498.05143554692,125498.05143554692,0.0,0,405.298828125
2023-05-24,125498.05143554692,125498.05143554692,0.0,0,397.84686279296875
2023-05-26,125498.05143554692,125498.05143554692,0.0,0,406.4891662597656
2023-06-02,125498.05143554692,125498.05143554692,0.0,0,414.13470458984375
2023-06-07,125498.05143554692,125498.05143554692,0.0,0,412.808837890625
2023-06-09,125498.05143554692,125498.05143554692,0.0,0,416.0509338378906
2023-06-12,125498.05143554692,125498.05143554692,0.0,0,419.82525634765625
2023-06-14,125498.05143554692,125498.05143554692,0.0,0,423.0964050292969
2023-06-16,125498.05143554692,125498.05143554692,0.0,0,426.8827819824219
2023-06-21,125498.05143554692,125498.05143554692,0.0,0,422.4920959472656
2023-06-23,125498.05143554692,125498.05143554692,0.0,0,420.8116149902344
2023-06-26,125498.05143554692,125498.05143554692,0.0,0,419.0923156738281
2023-06-28,125498.05143554692,125498.05143554692,0.0,0,423.9006652832031
2023-06-30,125498.05143554692,125498.05143554692,0.0,0,430.59344482421875
2023-07-05,125498.05143554692,125498.05143554692,0.0,0,430.44775390625
2023-07-07,125498.05143554692,125498.05143554692,0.0,0,425.998779296875
2023-07-10,125498.05143554692,125498.05143554692,0.0,0,427.0770263671875
2023-07-12,125498.05143554692,125498.05143554692,0.0,0,433.2550048828125
2023-07-14,125498.05143554692,125498.05143554692,0.0,0,436.4217224121094
2023-07-17,125498.05143554692,125498.05143554692,0.0,0,437.9371032714844
2023-07-19,125498.05143554692,125498.05143554692,0.0,0,442.1723327636719
2023-07-21,125498.05143554692,125498.05143554692,0.0,0,439.2387390136719
2023-07-24,125498.05143554692,125498.05143554692,0.0,0,441.2008972167969
2023-07-26,125498.05143554692,125498.05143554692,0.0,0,442.473388671875
2023-07-28,125498.05143554692,125498.05143554692,0.0,0,443.843017578125
2023-07-31,125498.05143554692,125498.05143554692,0.0,0,444.6882019042969
2023-08-02,125498.05143554692,125498.05143554692,0.0,0,437.2474365234375
2023-08-04,125498.05143554692,125498.05143554692,0.0,0,434.0224304199219
2023-08-07,125498.05143554692,125498.05143554692,0.0,0,437.810791015625
2023-08-09,125498.05143554692,125498.05143554692,0.0,0,432.9927673339844
2023-08-11,125498.05143554692,125498.05143554692,0.0,0,432.8955993652344
2023-08-14,125498.05143554692,125498.05143554692,0.0,0,435.28521728515625
2023-08-16,125498.05143554692,125498.05143554692,0.0,0,427.05767822265625
2023-08-18,125498.05143554692,125498.05143554692,0.0,0,424.0074462890625
2023-08-21,125498.05143554692,125498.05143554692,0.0,0,426.7662048339844
2023-08-23,125498.05143554692,125498.05143554692,0.0,0,430.3505859375
2023-08-25,125498.05143554692,125498.05143554692,0.0,0,427.37811279296875
2023-08-28,125498.05143554692,125498.05143554692,0.0,0,430.0882873535156
2023-08-30,125498.05143554692,125498.05143554692,0.0,0,438.1022033691406
2023-09-01,125498.05143554692,125498.05143554692,0.0,0,438.27703857421875
2023-09-06,125498.05143554692,125498.05143554692,0.0,0,433.4493103027344
2023-09-08,125498.05143554692,125498.05143554692,0.0,0,432.769287109375
2023-09-11,125498.05143554692,125498.05143554692,0.0,0,435.6155090332031
2023-09-13,125498.05143554692,125498.05143554692,0.0,0,433.7309875488281
2023-09-15,125498.05143554692,125498.05143554692,0.0,0,432.2000427246094
2023-09-18,125498.05143554692,125498.05143554692,0.0,0,432.4535217285156
2023-09-20,125498.05143554692,125498.05143554692,0.0,0,427.5892028808594
2023-09-22,125498.05143554692,125498.05143554692,0.0,0,419.5762939453125
2023-09-25,125498.05143554692,125498.05143554692,0.0,0,421.3407287597656
2023-09-27,125498.05143554692,125498.05143554692,0.0,0,415.31634521484375
2023-09-29,125498.05143554692,125498.05143554692,0.0,0,416.7103576660156
2023-10-02,125498.05143554692,125498.05143554692,0.0,0,416.54461669921875
2023-10-04,125498.05143554692,125498.05143554692,0.0,0,413.9613952636719
2023-10-06,125498.05143554692,125498.05143554692,0.0,0,418.7184753417969
2023-10-09,125498.05143554692,125498.05143554692,0.0,0,421.399169921875
2023-10-11,125498.05143554692,125498.05143554692,0.0,0,425.3276062011719
2023-10-13,125498.05143554692,125498.05143554692,0.0,0,420.62908935546875
2023-10-16,125498.05143554692,125498.05143554692,0.0,0,425.0546875
2023-10-18,125498.05143554692,125498.05143554692,0.0,0,419.37152099609375
2023-10-20,125498.05143554692,125498.05143554692,0.0,0,410.5788269042969
2023-10-23,125498.05143554692,125498.05143554692,0.0,0,409.8671875
2023-10-25,125498.05143554692,125498.05143554692,0.0,0,407.03045654296875
2023-10-27,125498.05143554692,125498.05143554692,0.0,0,400.3335876464844
2023-10-30,125498.05143554692,125498.05143554692,0.0,0,405.1199035644531
2023-11-03,125498.05143554692,125498.05143554692,0.0,0,423.7387390136719
2023-11-06,125498.05143554692,125498.05143554692,0.0,0,424.7135009765625
2023-11-09,125498.05143554692,125498.05143554692,0.0,0,422.9101257324219
2023-11-10,125498.05143554692,125498.05143554692,0.0,0,429.5095520019531
2023-11-13,125498.05143554692,125498.05143554692,0.0,0,429.10009765625
2023-11-16,125498.05143554692,125498.05143554692,0.0,0,438.88720703125
2023-11-17,125498.05143554692,125498.05143554692,0.0,0,439.4331359863281
2023-11-20,125498.05143554692,125498.05143554692,0.0,0,442.8157043457031
2023-11-21,125498.05143554692,125498.05143554692,0.0,0,441.8505859375
2023-11-22,125498.05143554692,125498.05143554692,0.0,0,443.5565185546875
2023-11-24,125498.05143554692,125498.05143554692,0.0,0,443.8294372558594
2023-11-27,125498.05143554692,125498.05143554692,0.0,0,443.0301513671875
2023-11-29,125498.05143554692,125498.05143554692,0.0,0,443.15679931640625
2023-12-01,125498.05143554692,125498.05143554692,0.0,0,447.5337219238281
2023-12-04,125498.05143554692,125498.05143554692,0.0,0,445.1844177246094
2023-12-06,125498.05143554692,125498.05143554692,0.0,0,443.3030700683594
2023-12-08,125498.05143554692,125498.05143554692,0.0,0,448.6060485839844
2023-12-11,125498.05143554692,125498.05143554692,0.0,0,450.3509216308594
2023-12-13,125498.05143554692,125498.05143554692,0.0,0,458.6465759277344
2023-12-15,125498.05143554692,125498.05143554692,0.0,0,459.3608703613281
2023-12-18,125498.05143554692,125498.05143554692,0.0,0,461.94488525390625
2023-12-20,125498.05143554692,125498.05143554692,0.0,0,458.31365966796875
2023-12-22,125498.05143554692,125498.05143554692,0.0,0,463.5892028808594
2023-12-27,125498.05143554692,125498.05143554692,0.0,0,466.3883972167969
2023-12-29,125498.05143554692,125498.05143554692,0.0,0,465.21392822265625
2024-01-03,125498.05143554692,125498.05143554692,0.0,0,458.8323974609375
2024-01-05,125498.05143554692,125498.05143554692,0.0,0,457.9808654785156
2024-01-08,125498.05143554692,125498.05143554692,0.0,0,464.51898193359375
2024-01-10,125498.05143554692,125498.05143554692,0.0,0,466.4373474121094
2024-01-12,125498.05143554692,125498.05143554692,0.0,0,466.5548095703125
2024-01-17,125498.05143554692,125498.05143554692,0.0,0,462.258056640625
2024-01-19,125498.05143554692,125498.05143554692,0.0,0,472.1826477050781
2024-01-22,125498.05143554692,125498.05143554692,0.0,0,473.1810302734375
2024-01-24,125498.05143554692,125498.05143554692,0.0,0,475.07977294921875
2024-01-26,125498.05143554692,125498.05143554692,0.0,0,477.056884765625
2024-01-29,125498.05143554692,125498.05143554692,0.0,0,480.8349304199219
2024-01-31,125498.05143554692,125498.05143554692,0.0,0,472.62310791015625
2024-02-02,125498.05143554692,125498.05143554692,0.0,0,483.8494873046875
2024-02-05,125498.05143554692,125498.05143554692,0.0,0,482.087646484375
2024-02-07,125498.05143554692,125498.05143554692,0.0,0,487.519775390625
2024-02-09,125498.05143554692,125498.05143554692,0.0,0,490.55401611328125
2024-02-12,125498.05143554692,125498.05143554692,0.0,0,490.33868408203125
